讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-23 (Thursday) 16:40-18:00,Shiqi Guo,"                                            Shiqi Guo is an Assistant Professor at the Antai College of Economics and Management, Shanghai Jiao Tong University. He received a Ph.D. in Development Economics from the Graduate Institute of International and Development Studies (IHEID), Geneva, Switzerland. He was a visiting fellow in the Labor and Worklife Program at Harvard University during 2019-2020 and a visiting Ph.D. fellow at United Nations University World Institute for Development Economics Research (UNU-WIDER) in 2017. His research spans the fields of Development Economics, Behavioral Economics, Political Economy, and Environmental Economics. His work has been published in journals including Journal of Development Economics, Games and Economic Behavior, American Journal of Agricultural Economics, and Journal of Comparative Economics.",Chinese Aid and Local Employment in Africa,"Room N302, Economics Building","                                                                We study the impact of Chinese infrastructure aid on local employment using household surveys from ten African countries during 2000&ndash;14. Our main identification strategy exploits the variation in proximities between aid projects and survey locations, and the random timings of project construction relative to the survey date. Using an approach similar to difference-in-differences, we show that Chinese aid increases the probability of local employment by two percentage points within its close proximity, compared to areas near a not-yet-implemented project, relative to places that never have aid projects. Increase in employment starts immediately with project implementation and persists after project completion. The longer-term impact is driven by migration and employment of skilled labor. We also find evidence for cross-sector and spatial spillover effects. Our results persist when we use alternative datasets on employment and different empirical strategies, and when we account for the potential impact of other local development resources."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-21 (Tuesday) 16:40-18:00,Zhan Shi,"                                            Zhan Shi is currently an Associate Professor at PBC School of Finance, Tsinghua University. Zhan received his Ph.D. in Finance from The Pennsylvania State University in 2014.&nbsp; Before that, he earned his B.S. in Statistics from Fudan University in 2008. Before joining the PBCSF, he worked as a visiting assistant professor of finance at The Ohio State University.&nbsp;Zhan's research interests lie in fixed income, market microstructure, dynamic corporate finance, FinTech. His research has been published in leading finance journals, including Journal of Finance, Journal of Financial Economics, Review of Finance and Management Science. His work on time-varying ambiguity has won 2104 WFA Cubist Systematic Strategies Ph.D. Candidate Award.",Corporate Basis and Demand for U.S. Dollar Assets,"Room N302, Economics Building","                                                                The corporate basis measures the price differences between bonds issued in dollars and foreign currencies by the same corporate entity. In this paper, we propose a novel method to decompose the corporate basis into three components: credit spread differential, convenience yield differential, and deviation from covered interest rate parity. With this decomposition, we document several stylized facts, and in particular, the substitution effect between safe and risky dollar assets. We provide further evidences on the substitution effect using the structural VAR analysis, which shows that a negative shock to financial intermediaries&rsquo; balance sheets causes a tightening of credit spread differential, a demand shift toward safe assets, and an appreciation of the dollar. We also find consistent holdings-level evidences using foreign investors&rsquo; aggregated holdings of safe and risky dollar assets. Lastly, we find that the substitution effect also shows great empirical plausibility for bonds denominated in the largest non-USD currencies&mdash;Euro and British Pounds&mdash;but is not highly relevant to other currencies in our sample. Our results highlight the important role of the top funding currencies, especially the U.S. dollar, in the global financial markets."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-21 (Tuesday) 16:30-18:00,沈煌南,                                            沈煌南，复旦大学管理学院应用经济系助理教授，哈佛大学肯尼迪政府学院国际发展研究中心增长实验室研究员，复旦科创企业家营和MBA课程授课教授，复旦大学中国经济研究中心研究员。参与组建了西班牙纳瓦拉大学中国研究中心（Core China Research Center），并担任联合创始人兼董事会成员的职务。担任国际中文期刊《中国经济研究》的创始副主编。参与关于&ldquo;一带一路&rdquo;倡议的国家社科基金面上项目和国家自科基金重大项目，发表的文章被收录ESI高被引论文的前1%的收录系列。迄今在《经济学动态》《中国工业经济》、China Economic Review、Journal of Economic Surveys、Structural Change and Economic Dynamics、Pacific Basin Finance Journal、Contemporary Economic Policy等期刊发表论文及专著章节共50余篇。获得了2022年度《产业经济评论》最佳论文奖，第22届安子介国际贸易研究优秀论文三等奖、第21届中国国有经济发展论坛&ldquo;优秀论文奖&rdquo;，以及伦敦大学科研奖学金和2019年中国教育部留基委海外自费留学生国家奖学金。,A Contracting Approach to the Divisions of the Gains in Global Supply C...,中科院数学与系统科学研究院南楼N204，厦大经济楼D235(线下分会场)，腾讯会议：47933486244,"                                                                This paper develops a theory to illustrate the relationship between the profitability of firms producing along the value chain and the sequential production stages. Using a bilateral monopoly framework, it interrogates the validity of the U-shaped curve (often called the &ldquo;smile curve&rdquo;) regarding the firm-level division of the gains in the global supply chains. In order to resolve the potential problems of double marginalisation and hold-up phenomenon, we use quantity fixing contracting choice as a way of vertical restraint to eliminate the incentives for vertical integration in the supply chain as well as the indeterminacy of prices stemming from the problems of bilateral monopoly. Our findings indicate that the U-shaped relationship is not universally valid. It depends on the interaction between the capability effects and cost effects of firms producing along the chain. From the consumption side, the variation of firm&rsquo;s bargaining power determines the profitability distribution along the chain, whereas labour costs and the elasticity of endogenous sunk cost with respect to the quality level of intermediate goods play a counterpart role in determining the profit sharing from the perspective of the production side. The empirical results based on the WIOD confirm our theoretical predictions."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-14 (Tuesday) 16:40-18:00,Ruichang Lu,"                                            Ruichang Lu, Associate Professor at Finance Department, Peking University Guanghua School of Management. He received the Ph.D. degree in Finance from NUS Business School, National University of Singapore. His research interest covers Banking, Financial Intermediaries, Corporate Finance. He received WFA Cubist Systematic Strategies Ph.D. Candidate Award for Outstanding Research (2014) and Seventh Annual Conference on Asia-Pacific Financial Markets (CAFM) best paper award. His research has appeared in journals such as Management Science and Journal of Financial and Quantitative Analysis and has been profiled in media outlets such as the Institutional Investor.",Founder CEO as the single point of failure? -- Evidence from the option...,"Room N302, Economics Building","                                                                The extensive influence of the founder CEO within the firm has the potential to create a single point of failure risk for the firm under normal circumstances while becoming favorable when the firm is in distress. Using the implied volatility of firm options as a market predictor of future uncertainty, we find consistent results that firms with a founder CEO are associated with a higher volatility risk premium in general. To establish causality, we use the sudden death of the CEO and the number of founders as instrumental variables and find consistent results. In contrast, when firms are in distress, founder CEOs become favorable to the firm and receive more support from banks, creditors, and employees. Overall, these results highlight a significant difference between the ex-ante risk assessment of options investors and the ex-post risk of founder CEOs."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2023-03-10 (Friday) 10:00-11:30,Chao Gu,"                                            Dr. Chao Gu is the Professor of Economics at University of Missouri. She obtained her PhD in Economics from Cornell University in 2007. Her research interests include macroeconomics,&nbsp;monetary economics, banking, and economic theory. She published papers in the top journals as Econometrica, Journal of Political Economy, Review of Economic Studies, International Economic Review, Journal of Monetary Economics, Journal of Economic Theory, Review of Economic Dynamics, etc.","Credit Condition, Inflation and Unemployment","Room N302, Economics Building","                                                                span style=""font-family: &quot;Times New Roman&quot;, serif;""We study the effects of the firm&rsquo;s credit condition on labor market performance and the relationship between expected inflation and unemployment in a new monetarist model. Better credit condition has a positive impact on the labor market as firms save on financing cost, improve profitability, and create more vacancies. Inflation affects unemployment through two opposing channels. First, inflation increases the firm&rsquo;s financing cost, which discourages job creation and increases unemployment. Second, inflation lowers wages because unemployed workers carry higher real balances and suffer more from inflation compared to employed workers. This encourages job creation. The overall effect of inflation on employment can be positive or negative and depends crucially on the firm&rsquo;s credit condition. We calibrate the model to match U.S. data before the great recession. The calibrated model suggests a small welfare cost of inflation and a downward-sloping Phillips curve with a flexible wage setting. We find that the firm&rsquo;s credit condition is as important as the nominal interest rate to understand the unemployment movement./spanp class=""MsoNormal""span lang=""EN-US"" style=""font-family: &quot;Times New Roman&quot;, serif;""o:p/o:p/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
